category,rating,label,text_
Home_and_Kitchen_5,5,CG,"Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty"
Home_and_Kitchen_5,5,CG,"love it, a great upgrade from the original.  I've had mine for a couple of years"
Home_and_Kitchen_5,5,CG,This pillow saved my back. I love the look and feel of this pillow.
Home_and_Kitchen_5,1,CG,"Missing information on how to use it, but it is a great product for the price!  I"
Home_and_Kitchen_5,5,CG,Very nice set. Good quality. We have had the set for two months now and have not been
Home_and_Kitchen_5,3,CG,I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.
Home_and_Kitchen_5,5,CG,They are the perfect touch for me and the only thing I wish they had a little more space.
Home_and_Kitchen_5,3,CG,These done fit well and look great.  I love the smoothness of the edges and the extra
Home_and_Kitchen_5,5,CG,"Great big numbers & easy to read, the only thing I didn't like is the size of the"
Home_and_Kitchen_5,5,CG,My son loves this comforter and it is very well made.  We also have a baby
Home_and_Kitchen_5,5,CG,As advertised. 5th one I've had. The only problem is that it's not really a
Home_and_Kitchen_5,5,CG,Very handy for one of my kids and the tools are included in the package. I have one in
Home_and_Kitchen_5,5,CG,"Did someone say, ""Oriental for $60""?  It is a great product for the"

Movies_and_TV_5,5,CG,"I have not seen the last of the movie, and I will not be buying the Blu-ray.  I had to get a copy"
Movies_and_TV_5,5,CG,I raced home everyday from work to watch the movie. I saw it on TV and was blown away.  I had to watch it again
Movies_and_TV_5,2,CG,"Not my cup,of tea. Poor woman. The only redeeming qualities of this film are the strong performances."
Movies_and_TV_5,5,CG,This Denzel Washington film will go down as one of the best movies ever made. I was one of those who felt the film was a
Movies_and_TV_5,5,CG,"Well acted, very high production values. The movie is a good history lesson for those who are interested in history. Great movie! I am"
Movies_and_TV_5,3,CG,"I thought I was getting into a movie with a lot of twists and turns, but I just couldn't get into the story."
Movies_and_TV_5,5,OR,"If ever there was a an outstanding family video this is it, it captivates and entertains and tugs as all the right heart strings."
Movies_and_TV_5,5,OR,This is the best ever biblical inspirational novel ever told.  From beginning to end my breath was taken away.  I keep watching over and over again.
Movies_and_TV_5,5,OR,"Band Of Brothers is the most realistic depiction of the Amrican experience in WWII I have ever seen. Do not miss it, it is something to be savored!"
Movies_and_TV_5,4,OR,If you are familiar with the original Brady Bunch this movie is very funny. I docked it a star for innuendo but all in all a good movie.
Movies_and_TV_5,5,OR,"Love Julia Stiles - this movie brought it all the way through.  If you are a dancer, dance lover, dance enthusiast - this movie is for you!"
Movies_and_TV_5,4,OR,I love these Buster Keaton movies. They are some of his best work. The video quality is great on this set too. I'm completely satisfied with my purchase.


