category,rating,label,text_
Men's Clothing,4,OR,"This shirt fits well and is made from high-quality materials."
Electronics,1,CG,"This laptop is slow and constantly freezes."
Sports & Outdoors,2,OR,"This yoga mat is slippery and doesn't provide enough cushioning."
Jewelry,5,OR,"These earrings are stunning and receive many compliments."
Food & Beverage,4,CG,"This energy drink gives me a boost of energy and tastes great."
Beauty,2,OR,"This foundation is too thick and looks cakey on my skin."
Clothing,5,OR,"This dress is comfortable, flattering, and perfect for any occasion."
Home & Garden,3,CG,"This lamp is cheaply made and the light bulb burnt out quickly."
Electronics,5,CG,"This tablet is easy to use and has a long battery life."
Sports & Outdoors,4,OR,"These running shorts are comfortable and have a convenient pocket."
Jewelry,3,OR,"This bracelet is pretty, but the clasp is difficult to open."
Food & Beverage,3,CG,"This protein bar is filling, but tastes artificial."
Beauty,4,OR,"This lip balm is moisturizing and has a nice subtle tint."
Clothing,2,CG,"These jeans are too tight and uncomfortable."
Home & Garden,4,OR,"This coffee maker is easy to use and makes a great cup of coffee."
Electronics,3,CG,"This printer is slow and frequently jams."
Sports & Outdoors,5,OR,"This hiking backpack is durable and has plenty of storage space."
Jewelry,4,OR,"This ring is unique and fits well."
Food & Beverage,5,CG,"This chocolate has a rich, velvety texture and is incredibly decadent."
Beauty,3,OR,"This face wash is gentle, but doesn't remove all my makeup."
Clothing,4,OR,"These leggings are soft and stretchy, perfect for working out."
Home & Garden,2,CG,"This plant died within a week, despite proper care."
Electronics,4,CG,"This keyboard is responsive and has customizable RGB lighting."
Sports & Outdoors,3,OR,"This tennis racket is average quality and doesn't provide extra power."
Jewelry,5,OR,"This necklace is delicate and goes with everything."
Food & Beverage,2,CG,"This frozen pizza is disappointing and doesn't taste fresh."
Beauty,5,OR,"This mascara lengthens and volumizes my lashes perfectly."
Clothing,1,OR,"This jacket arrived with a missing button and a tear in the sleeve."
Home & Garden,5,OR,"This bedding set is luxurious and comfortable."
Electronics,2,CG,"This mouse is unresponsive and often loses connection."
Men's Clothing,5,CG,"Love this! Well made, sturdy, and very comfortable. I love it! Very pretty."
Jewelry,4,OR,"This ring is simple and elegant, perfect for everyday wear."
Food & Beverage,5,CG,"This chocolate has a rich, creamy texture and a delicious taste."
Beauty,3,OR,"This face wash has a strong scent and left my skin feeling dry."
Clothing,4,CG,"This dress is cute, but the material wrinkles easily."
Home & Garden,5,OR,"This coffee table is sturdy and adds a stylish touch to my living room."
Electronics,4,CG,"This laptop is fast and has a long battery life, perfect for my needs."
Sports & Outdoors,2,OR,"This tent is difficult to set up and not very durable."
Jewelry,5,OR,"This watch is sleek and stylish, perfect for dressing up or down."
Food & Beverage,4,CG,"This wine has a smooth finish and pairs well with a variety of foods."
Beauty,2,OR,"This mascara clumps and smudges easily, not worth the price."
Clothing,5,OR,"This coat is warm and cozy, and the fur collar adds a nice touch."
Home & Garden,3,CG,"This lamp is stylish, but the lightbulb it comes with is not very bright."
Electronics,5,CG,"This phone has a great camera and a lot of storage space."
Sports & Outdoors,4,OR,"This backpack is comfortable to wear and has a lot of pockets for storage."
Jewelry,3,OR,"These earrings are pretty, but they're a bit heavy and hurt my ears."
Food & Beverage,2,CG,"This energy bar is dry and tastes bland, not worth the money."
Beauty,5,OR,"This nail polish stays on for a long time and has a vibrant color."
Clothing,4,CG,"These leggings are comfortable, but they're a bit see-through."
Home & Garden,5,OR,"This plant is healthy and adds a nice touch of green to my home decor."
Electronics,3,CG,"This printer is affordable, but the ink runs out quickly."
Sports & Outdoors,4,OR,"This running shoes are comfortable and have good arch support."
Jewelry,5,OR,"This necklace is stunning and adds a pop of color to any outfit."
Food & Beverage,3,CG,"This juice has a unique flavor, but it's a bit too sweet for my liking."
Beauty,4,OR,"This eye cream reduces puffiness and dark circles."
Clothing,2,CG,"This jacket is poorly made and the zipper keeps getting stuck."
Home & Garden,4,OR,"This vacuum cleaner has strong suction power and is easy to use."
Electronics,2,CG,"This tablet is slow and the screen resolution is poor."
Men's Clothing,5,OR,"This suit fits perfectly and looks very professional."
Jewelry,4,OR,"This bracelet is a bit too tight, but it's still beautiful and well-made."
Food & Beverage,5,CG,"This coffee has a bold flavor and a rich aroma, perfect for starting my day."
Beauty,3,OR,"This lipstick is a bit drying and doesn't last very long."
Clothing,4,CG,"This sweater is soft and cozy, but it sheds a lot of fuzz."
Home & Garden,5,OR,"This pillow is soft and comfortable, and the design is very stylish."
Electronics,4,CG,"This camera takes high-quality photos and is easy to use."
Sports & Outdoors,2,OR,"This fishing rod is not very sturdy and the reel is difficult to operate."
Jewelry,5,OR,"This engagement ring is absolutely stunning and has a timeless design."
